#Deuxième tirage	
#Hauteur (mm)	Aire (mm²)
1.659	538.414201183432
1.664	539.448047337278
1.669	538.289230769231
1.674	538.323313609468
1.678875	536.638106508876
1.684	534.699171597633
1.688875	532.203550295858
1.693875	532.203550295858
1.698875	530.044970414201
1.703875	526.958579881657
1.708875	525.784615384615
1.713875	523.607100591716
1.718875	523.406390532544
1.723875	520.066272189349
1.728875	518.896094674556
1.733875	517.884970414201
1.738875	516.169467455621
1.743875	517.04426035503
1.748875	513.067928994083
1.753875	512.162840236686
1.758875	511.019171597633
1.763875	508.046390532544
1.768875	508.16
1.773875	506.077159763314
1.77875	504.119289940828
1.783875	502.180355029586
1.78875	500.794319526627
1.79375	497.35573964497
1.79875	498.166153846154
1.80375	496.268875739645
1.80875	496.76875739645
1.81375	494.405680473373
1.81875	492.667455621302
1.82375	492.87573964497
1.82875	491.307928994083
1.83375	489.959763313609
1.83875	486.104615384615
1.84375	482.730414201183
1.84875	481.45798816568
1.85375	481.465562130177
1.85875	480.889940828402
1.86375	479.405443786982
1.86875	475.743431952663
1.87375	471.668639053254
1.87875	469.771360946746
1.88375	466.794792899408
1.88875	466.43124260355
1.89375	462.170887573964
1.89875	461.883076923077
1.90375	457.615147928994
1.90875	457.683313609467
1.91375	455.456568047337
1.91875	453.040473372781
1.92375	451.593846153846
1.92875	449.79124260355
1.93375	449.401183431953
1.93875	446.882840236686
1.94375	445.10674556213
1.94875	443.985798816568
1.953875	441.70224852071
1.95875	440.800946745562
1.963875	439.65349112426
1.96875	436.945798816568
1.973875	433.738224852071
1.97875	432.594556213018
1.983875	434.211597633136
1.988875	432.655147928994
1.993875	431.405443786982
1.998875	430.844970414201
2.003875	427.061775147929
2.008875	427.557869822485
2.013875	426.376331360947
2.018875	425.512899408284
2.023875	424.808520710059
